Drug A,Drug B,Severity,Mechansim,Reference
Loratadine,Hydrocortisone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Loratadine,Aripiprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Loratadine,Erythromycin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Loratadine,Metoprolol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Loratadine,Codeine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Loratadine,Tiotropium,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Loratadine,St. John's wort,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Lorazepam,Sunitinib,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Lorazepam,Tramadol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Lorazepam,Cyclophosphamide,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Lorazepam,Turmeric (Curcumin),Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Lorazepam,Paroxetine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Losartan,Lorazepam,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Losartan,Ranitidine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Losartan,Famotidine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Losartan,Heparin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Losartan,Paclitaxel,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Losartan,Baclofen,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Losartan,Saxagliptin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Macrolide antibiotic,Statin,Major,"CYP3A4 inhibition, increased myopathy risk",DrugBank
Metformin,Risperidone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Metformin,Azithromycin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Metformin,Montelukast,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Metformin,Insulin Lispro,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Metformin,Doxorubicin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Metformin,Omeprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Metformin,Citalopram,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Metformin,Esomeprazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Metformin,Hydrocodone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Metformin,Olanzapine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Metformin,Fluconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Methotrexate,Hydrocortisone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Methotrexate,Green tea extract,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Methotrexate,Metronidazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Methotrexate,Insulin Aspart,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Methotrexate,Doxorubicin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Methotrexate,Levothyroxine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Methotrexate,Ranitidine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Methotrexate,Paroxetine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Methotrexate,Enalapril,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Methotrexate,Paclitaxel,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Metoprolol,Cefixime,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Metoprolol,Clopidogrel,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Metoprolol,Olanzapine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Metoprolol,Itraconazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Metoprolol,Risedronate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Metoprolol,Salmeterol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Metoprolol,Omeprazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Metoprolol,Gabapentin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Metoprolol,Calcium Carbonate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Metoprolol,Voriconazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Metoprolol,Risperidone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Metoprolol,Fluoxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Metoprolol,Doxycycline,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Metronidazole,Lorazepam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Metronidazole,Doxorubicin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Metronidazole,Empagliflozin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Metronidazole,Sitagliptin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Minocycline,Salbutamol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Minocycline,Rosuvastatin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Minocycline,Lisinopril,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Minocycline,Pantoprazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Minocycline,Nivolumab,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Minocycline,Enalapril,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Montelukast,Sitagliptin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Montelukast,Metoprolol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Montelukast,Levetiracetam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Montelukast,Cefuroxime,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Montelukast,Ibuprofen,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Montelukast,Carbamazepine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Montelukast,Hydrocodone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Morphine,Simvastatin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Morphine,Isosorbide Mononitrate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Morphine,Insulin Glargine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Morphine,Clonazepam,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Morphine,Levetiracetam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Morphine,Ciprofloxacin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Morphine,Vitamin D3,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Multivitamin,Montelukast,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Multivitamin,Simvastatin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Multivitamin,Oxycodone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Multivitamin,Antacid (Omeprazole),Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Multivitamin,Prednisone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Multivitamin,Formoterol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Naproxen,Risperidone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Naproxen,Paclitaxel,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Naproxen,Risedronate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Naproxen,Lisinopril,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Naproxen,Saxagliptin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Naproxen,Clopidogrel,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Naproxen,Metformin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Naproxen,Voriconazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Naproxen,Nifedipine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Naproxen,Garlic extract,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Naproxen,Enalapril,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Nifedipine,Clarithromycin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Nifedipine,Metformin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Nifedipine,Insulin Lispro,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Nifedipine,Vitamins A,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Nifedipine,Ranitidine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Nifedipine,Metronidazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Nitroglycerin,Metformin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Nitroglycerin,Calcium Carbonate,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Nitroglycerin,Diazepam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Nitroglycerin,Vitamins A,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Nitroglycerin,Prednisone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Nitroglycerin,Minocycline,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Nitroglycerin,Atorvastatin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Nitroglycerin,Amiodarone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Nivolumab,Dexamethasone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Nivolumab,Formoterol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Nivolumab,Omeprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Nivolumab,Gabapentin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Nivolumab,Vitamins A,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Nivolumab,Methotrexate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Olanzapine,Saxagliptin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Olanzapine,Carbamazepine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Olanzapine,Simvastatin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Olanzapine,Quetiapine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Olanzapine,Metronidazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Olanzapine,Beclometasone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Olanzapine,Fluconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Olanzapine,Zolpidem,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Olanzapine,Methotrexate,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Olanzapine,Citalopram,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Olanzapine,Trastuzumab,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Omega-3 (Fish Oil),Pembrolizumab,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Omega-3 (Fish Oil),Gabapentin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Omega-3 (Fish Oil),Liothyronine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Omega-3 (Fish Oil),Warfarin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Omega-3 (Fish Oil),Morphine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Omega-3 (Fish Oil),Insulin Glargine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Omega-3 (Fish Oil),Folic Acid,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Omega-3 (Fish Oil),Ciprofloxacin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Omeprazole,Quetiapine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Omeprazole,Amiodarone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Omeprazole,Esomeprazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Omeprazole,Pregabalin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Omeprazole,Dexamethasone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Omeprazole,Montelukast,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Omeprazole,Tadalafil,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Oxycodone,Hydrocodone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Oxycodone,Vitamins A,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Oxycodone,Enoxaparin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paclitaxel,Cefixime,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paclitaxel,Doxycycline,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paclitaxel,Aripiprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paclitaxel,Loratadine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Paclitaxel,Glibenclamide,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paclitaxel,Iron (Ferrous Sulfate),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paclitaxel,Sunitinib,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Paclitaxel,Lisinopril,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Paclitaxel,Sertraline,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Pantoprazole,Sildenafil,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Pantoprazole,Hydrocodone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Pantoprazole,Calcium Carbonate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Pantoprazole,Pregabalin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paracetamol,Famotidine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paracetamol,Aspirin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Paracetamol,Paroxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Paracetamol,Loratadine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Paracetamol,Simvastatin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paracetamol,Paclitaxel,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Paroxetine,Doxorubicin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paroxetine,Levofloxacin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paroxetine,Warfarin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Paroxetine,Quetiapine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Paroxetine,Phenytoin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Paroxetine,Amiodarone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Paroxetine,Diclofenac Sodium,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Pembrolizumab,Naproxen,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Pembrolizumab,Budesonide,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Pembrolizumab,Sunitinib,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Pembrolizumab,St. John's wort,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Pembrolizumab,Fluoxetine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Pembrolizumab,Oxycodone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Pembrolizumab,Empagliflozin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Pembrolizumab,Pantoprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Pembrolizumab,Esomeprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Pembrolizumab,Beclometasone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Pembrolizumab,Aspirin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Phenytoin,Promethazine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Phenytoin,Lithium Carbonate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Phenytoin,Citalopram,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Phenytoin,St. John's wort,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Phenytoin,Vitamin D3,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Prednisone,Simvastatin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Prednisone,Risedronate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Prednisone,Insulin Aspart,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Prednisone,Hydrocodone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Prednisone,Pregabalin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Pregabalin,Tetracycline,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Pregabalin,Paroxetine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Pregabalin,Metronidazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Pregabalin,Ibuprofen,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Pregabalin,Paracetamol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Pregabalin,Glibenclamide,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Pregabalin,Diazepam,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Pregabalin,Levocetirizine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Pregabalin,Bisoprolol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Pregabalin,Famotidine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Pregabalin,Lorazepam,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Pregabalin,Oxycodone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Pregabalin,Ciprofloxacin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Promethazine,Antacid (Omeprazole),Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Promethazine,Erythromycin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Promethazine,Minocycline,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Promethazine,Morphine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Promethazine,Ciprofloxacin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Promethazine,Itraconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Propranolol,Sildenafil,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Propranolol,Liothyronine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Propranolol,Morphine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Propranolol,Metronidazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Propranolol,Ibuprofen,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Propranolol,Calcium Carbonate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Quetiapine,Levocetirizine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Quetiapine,Bisoprolol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Quetiapine,Minocycline,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Quetiapine,Ampicillin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ranitidine,St. John's wort,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Ranitidine,Insulin Glargine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ranitidine,Sildenafil,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ranitidine,Cefuroxime,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ranitidine,Ciprofloxacin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ranitidine,Metformin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ranitidine,Folic Acid,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Rifampicin,Oral contraceptives,Major,Induction reduces contraceptive efficacy,DrugBank
Risedronate,Doxycycline,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Risedronate,Ginkgo biloba,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Risedronate,Trastuzumab,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Risedronate,Montelukast,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Risedronate,Diclofenac Sodium,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Risedronate,Beclometasone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Risedronate,Vitamin D3,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Risedronate,Lisinopril,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Risedronate,Clopidogrel,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Risedronate,Clonazepam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Risperidone,Morphine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Risperidone,Vitamins A,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Risperidone,Green tea extract,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Risperidone,Doxorubicin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Risperidone,Sildenafil,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Risperidone,Ibuprofen,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Rosuvastatin,Fluconazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Rosuvastatin,Paroxetine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Rosuvastatin,Iron (Ferrous Sulfate),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Rosuvastatin,Losartan,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Rosuvastatin,Tetracycline,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Rosuvastatin,Folic Acid,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Rosuvastatin,Loratadine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Rosuvastatin,Cetirizine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Rosuvastatin,Metronidazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Salbutamol,Amoxicillin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Salbutamol,Simvastatin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Salbutamol,Prednisone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Salbutamol,Diazepam,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Salbutamol,Insulin Glargine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Salbutamol,Multivitamin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Salbutamol,Fluconazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Salbutamol,Methotrexate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Salmeterol,Oxycodone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Salmeterol,Heparin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Salmeterol,Clonazepam,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Salmeterol,Omega-3 (Fish Oil),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Salmeterol,Tadalafil,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Saxagliptin,Methotrexate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Saxagliptin,Paclitaxel,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Saxagliptin,Lamotrigine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Saxagliptin,Amoxicillin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Saxagliptin,Ginkgo biloba,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Saxagliptin,Voriconazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Saxagliptin,Montelukast,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Saxagliptin,Glibenclamide,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Sertraline,MAOI,Major,Risk of serotonin syndrome,BNF;DrugBank
Sertraline,Vitamin D3,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Sertraline,Clonazepam,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Sertraline,Metformin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Sertraline,Codeine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Sildenafil,Nitrate,Major,Severe hypotension risk,BNF
Sildenafil,Risedronate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Sildenafil,Grapefruit juice,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Sildenafil,Voriconazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Sildenafil,Escitalopram,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Simvastatin,Clarithromycin,Major,CYP3A4 inhibition -> increased statin levels -> rhabdomyolysis risk,DrugBank;FDA
Simvastatin,Grapefruit juice,Major,Grapefruit inhibits CYP3A4 -> increased statin levels,FDA;DrugBank
Simvastatin,Liothyronine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Simvastatin,Ciprofloxacin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Simvastatin,Vitamins A,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Simvastatin,Aripiprazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Simvastatin,Risedronate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Sitagliptin,Salbutamol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Sitagliptin,Loratadine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Sitagliptin,Ampicillin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Sitagliptin,Levetiracetam,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Sitagliptin,Levofloxacin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
